idiom,meaning
발 이 길,음식 먹 는 자리 에 우연히 가 게 되 어 먹 을 복 이 있
발 넓,사귀 어 아 는 사람 이 많 아 활동 하 는 범위 가 넓
발 너르,사귀 어 아 는 사람 이 많 아 활동 하 는 범위 가 넓
발 이 넓,사귀 어 아 는 사람 이 많 아 활동 하 는 범위 가 넓
발 이 너르,사귀 어 아 는 사람 이 많 아 활동 하 는 범위 가 넓
발 뜨,이따금 씩 다니
발 이 뜨,이따금 씩 다니
발 맞,여러 사람 의 말 이나 행동 이 같 은 방향 으로 일치 하
발 이 맞,여러 사람 의 말 이나 행동 이 같 은 방향 으로 일치 하
발 묶 이,몸 을 움직이 ᆯ 수 없 거나 활동 하 ᆯ 수 없 는 형편 이 되
발 이 묶이,몸 을 움직이 ᆯ 수 없 거나 활동 하 ᆯ 수 없 는 형편 이 되
발 빠르,알맞 은 조치 를 신속히 취하
발 이 빠르,알맞 은 조치 를 신속히 취하
발 짧,먹 는 자리 에 남 들 이 다 먹 은 뒤 에 나타나
발 이 짧,먹 는 자리 에 남 들 이 다 먹 은 뒤 에 나타나
발간 거짓 말,뻔히 드러나 ᆯ 만큼 터무니없 는 거짓 말
발갛 ᆫ 상 놈,더 말 하 ᆯ 나위 없 는 상 놈
발 걸음 도 끊,전혀 오 거나 가 지 아니하
발 걸음 을 재촉 하,길 을 가 ᆯ 때 에 빨리 서두르 어 가
발 걸음 이 떨어지 지 않,마음 이 놓이 지 아니하 여 선뜻 떠나 ᆯ 수 가 없
발 그림자 도 끊,오가 지 않 거나 관계 를 끊
발 그림자 도 들여놓 지 않,전혀 나타나 지 아니하
발 길 에 채,여기 저기 흔하 게 널리 어 있
발 길 에 차이 이 다,여기 저기 흔하 게 널리 어 있
발 길 이 내키 지 않,선뜻 행동 에 옮기 어 지 지 아니하
발 길 이 떨어지 지 않,선뜻 떠나 ᆯ 수 가 없
발 길 이 멀 어 지,서로 찾아오 거나 찾아가 는 것 이 뜸하 아 지
발 길 이 무겁,선뜻 행동 에 옮기 어 지 지 아니하
발 꿈치 를 물,은혜 를 베풀 어 주 ᆫ 상대 에게 해 를 입히
발 꿈치 를 물리,은혜 를 베풀 어 주 ᆫ 상대 로부터 뜻밖에 해 를 입
발 꿈치 를 접하 여 일어나,어떤 일 들 이 연달 아 일어나
발동 을 걸,어떤 일 을 하 ᆯ 태세 를 갖추 거나 어떤 일 을 하 도록 부추기
발 뒤축 을 물,은혜 를 베풀 어 주 ᆫ 상대 에게 해 를 입히
발 뒤축 을 물리,은혜 를 베풀 어 주 ᆫ 상대 로부터 뜻밖에 해 를 입
발 등 디디,남 이 하 려는 일 을 앞지르 어서 먼저 하
발 등 을 디디,남 이 하 려는 일 을 앞지르 어서 먼저 하
발 등 찍히,배신 을 당하
발 등 을 찍히,배신 을 당하
발 등 에 불 떨어지,일 이 몹시 절박 하 게 닥치
발 등 에 불 이 떨어지,일 이 몹시 절박 하 게 닥치
발 등 을 밟히,자기 가 하 려는 일 을 남 이 앞지르 어서 먼저 하
발 등 을 찍,남 의 일 을 그르치 거나 해 를 주
발 등 의 불 을 끄,눈 앞 에 닥치 ᆫ 절박 하 ᆫ 일 이나 어렵 ᆫ 일 을 처리 하 거나 해결 하
발매 넣,나무 를 찍 어 내 는 일 판 의 발매 를 시작 하
발매 를 넣,나무 를 찍 어 내 는 일 판 의 발매 를 시작 하
발매 놓,촘촘히 서 어 있 는 나무 를 한꺼번에 베 어 버리
발매 를 놓,촘촘히 서 어 있 는 나무 를 한꺼번에 베 어 버리
발 목 잡히,약점 이나 단서 를 잡히
발 목 을 잡히,약점 이나 단서 를 잡히
발 목 을 묶이,어렵 ᆫ 상황 이나 일 에서 벗어나 지 못하
발 목 잡,벗어나 지 못하 게 하
발 목 을 잡,벗어나 지 못하 게 하
발 바닥 에 불 이 일 이 다,여기 저기 돌아다니
발 바닥 에 불이,여기 저기 돌아다니
발 바닥 에 흙 안 묻히 고 살,편하 게 살
발 바닥 을 핥,재력 이나 권세 가 있 는 사람 에게 빌붙 어 더럽 ᆫ 짓 을 하
발 벗 고 나서,적극 적 으로 나서
발 벗 고 대들,적극 적 으로 나서 서 대들
발쇠 서,남 의 비밀 을 캐내 어 다른 사람 에게 넌지시 알리 어 주
발쇠 를 서,남 의 비밀 을 캐내 어 다른 사람 에게 넌지시 알리 어 주
발 씨 설,잘 다니 지 아니하 던 길 이 어서 익숙 하 지 못하
발 씨 서투르,잘 다니 지 아니하 던 길 이 어서 익숙 하 지 못하
발 씨 가 설,잘 다니 지 아니하 던 길 이 어서 익숙 하 지 못하
발 씨 가 서투르,잘 다니 지 아니하 던 길 이 어서 익숙 하 지 못하
발 씨 익,여러 번 다니 어서 길 에 익숙 하
발 씨 가 익,여러 번 다니 어서 길 에 익숙 하
발 아래 로 보,무시 하 고 깔보
발 아래 에 도 못 가,비교 가 안 되 ᆯ 만큼 보잘것없
발 에 채,여기 저기 흔하 게 널리 어 있
발 에 차이 이 다,여기 저기 흔하 게 널리 어 있
발 을 달,끝 나 ᆫ 말 이나 이미 있 는 말 에 말 을 덧붙이
발 을 뽑,책임 을 피하 여 빠지 어 나오
발 이 내키 지 않,선뜻 행동 에 옮기 어 지 지 아니하
발 이 닳,매우 분주 하 게 많이 다니
발 이 떨어지 지 않,선뜻 떠나 ᆯ 수 가 없
발 이 뜸 하,자주 다니 던 것 이 한 동안 왕래 가 없
발 이 손 이 되 도록 빌,간절히 빌
발 이 익,여러 번 다니 어서 길 에 익숙 하
발 이 잦,어떤 곳 에 자주 다니
발 이 저리,지은 죄 가 있 어 마음 이 편안 하 지 아니하
밤 낮 을 가리 지 않,어떤 일 을 시간 에 구애 되 지 않 고 계속 하
밤 낮 이 따로 없,어떤 일 을 밤 낮 을 구분 하 지 않 고 계속 하
밤 볼 지,볼 의 살 이 찌
밤 볼 이 지,볼 의 살 이 찌
밤새 는 줄 모르,어떤 일 에 몰두 하 거나 빠지 어 시간 이 가 는 것 을 모르
밤새 는 줄 을 모르,어떤 일 에 몰두 하 거나 빠지 어 시간 이 가 는 것 을 모르
밤 이 아홉 이,반드시 끝내 고야 말 겠
밤 이 열 이,반드시 끝내 고야 말 겠
밤 중 같 은 사람,아무것 도 모르 는 사람
밥 벌,일정 하 ᆫ 노력 을 들이 어서 먹 을 것 이나 대가 를 얻
밥 을 벌,일정 하 ᆫ 노력 을 들이 어서 먹 을 것 이나 대가 를 얻
밥 주,시계 가 정상 적 으로 작동 하 도록 태엽 을 감 아 주
밥 을 주,시계 가 정상 적 으로 작동 하 도록 태엽 을 감 아 주
밥 구경 하,오래간 만 에 밥 을 먹
밥 구경 을 하,오래간 만 에 밥 을 먹
밥 구경 을 못 하,밥 을 전혀 먹 지 못하 고 굶
밥 그릇 이나 축내,하 는 일 없이 그저 밥 이나 먹 으며 하루하루 지내
밥 맛 이 떨어지,"상대 방 의 말 , 행동 따위 가 불쾌 하 고 역겹"
밥 먹 듯 하,자주 하
밥 숟 가락 놓,목 숨 이 끊 어 지
밥 숟 가락 을 놓,목 숨 이 끊 어 지
밥 숟 가락 이나 뜨,어지간히 사 ᆫ다
밥 숟 가락 이나 먹,어지간히 사 ᆫ다
밥 술 놓,목 숨 이 끊 어 지
밥 술 을 놓,목 숨 이 끊 어 지
밥 술 깨나 먹,경제 적 으로 여유 가 있
밥 술 을 쥐 고 사 ᆫ다,경제 적 으로 여유 가 있
밥 술 이나 뜨,경제 적 으로 여유 가 있
밥 술 이나 먹,경제 적 으로 여유 가 있
밥 알 을 세,입 맛 이 없
밥 알 이 곤두서,비위 에 거슬리
밥 줄 이 끊 어 지,일 자리 를 잃 게 되
밥 줄 이 떨어지,일 자리 를 잃 게 되
밥 통 이 떨어지,일 자리 를 잃 게 되
방 놓,방 고래 를 켜 고 구들 장 을 놓 은 후 에 흙 과 새벽 을 바르 아서 방 바닥 을 만들
방 을 놓,방 고래 를 켜 고 구들 장 을 놓 은 후 에 흙 과 새벽 을 바르 아서 방 바닥 을 만들
방망 이 들,남 의 일 에 끼어들 어 훼방 을 놓
방망이 를 들,남 의 일 에 끼어들 어 훼방 을 놓
방부 들 이,다른 절 의 객승 이 오 아서 있 기 를 원하 여 그 를 받아들이
방부 를 들이,다른 절 의 객승 이 오 아서 있 기 를 원하 여 그 를 받아들이
방아 찧,고개 나 몸 을 끄덕이
방아 를 찧,고개 나 몸 을 끄덕이
방울 을 굴리,목 소리 가 또랑또랑 하 거나 아름답 ᄆ
방 을 따,"윷 놀이 에서 , 말 을 방 에서 첫 밭 에 놓"
배 맞,마음 이 맞 아 서로 몸 을 허락 하
배 가 맞,마음 이 맞 아 서로 몸 을 허락 하
배 아프,남 이 잘 되 어 심술 이
배 가 아프,남 이 잘 되 어 심술 이
배 내밀,몹시 우쭐거리
배 를 내밀,몹시 우쭐거리
배 두 드리,경제 적 으로 여유 가 있
배 를 두드리,경제 적 으로 여유 가 있
배 불리,사리 사욕 을 채우
배 채우,사리 사욕 을 채우
배 를 불리,사리 사욕 을 채우
배 를 채우,사리 사욕 을 채우
배 앓,남 잘 되 는 것 에 심술 이 나 서 속 을 태우
배 를 앓,남 잘 되 는 것 에 심술 이 나 서 속 을 태우
배가 등 에 붙,배 가 매우 고프
배 꼽 빼,몹시 우습
배 꼽 을 빼,몹시 우습
배 꼽 쥐,웃 음 을 참 지 못하 여 크 게 웃
배 꼽 잡,웃 음 을 참 지 못하 여 크 게 웃
배 꼽 을 쥐,웃 음 을 참 지 못하 여 크 게 웃
배 꼽 을 잡,웃 음 을 참 지 못하 여 크 게 웃
배 꼽 빠지,몹시 우습
배 꼽 이 빠지,몹시 우습
배 꼽 웃,하 는 짓 이 하도 어 이 가 없
배 꼽 이 웃,하 는 짓 이 하도 어 이 가 없
배 꼽 도 덜 떨어지,나이 가 매우 어리
배 꼽 밑 에 털,자라 서 어른 이 되
배 꼽 을 맞추,남녀 가 정 을 통하
배 때 가 벗,행동 이나 말 이 아주 거만 하 고 건방지
배부르 ᆫ 흥정,안타깝 ᆯ 것 이 없 는 흥정
배송 내,쫓아내
배송 을 내,쫓아내
배알 이 꼴리,비위 에 거슬리 어 아니꼽
배알 이 뒤틀리,비위 에 거슬리 어 아니꼽
배 에 기름 이 끼,살림 이 넉넉 하 여 지
배 에 기름 이 오르,살림 이 넉넉 하 여 지
배 에 기름 이 지,잘 먹 어 몸 에 살 이 찌
배 의 때 를 벗,경제 적 으로 나아지
배 지나가 ᆫ 자리,아무 흔적 도 남 지 아니하 ᆫ 상태
배짱 내밀,배짱 있 는 태도 를 취하
배짱 을 내밀,배짱 있 는 태도 를 취하
배짱 맞,무슨 일 을 도모 하 는 데 뜻 과 마음 이 맞
배짱 이 맞,무슨 일 을 도모 하 는 데 뜻 과 마음 이 맞
배짱 을 대,굽히 지 아니하 고 버티 어 나가
배코 치,머리 를 면도 하 듯이 빡빡 밀 어 깎
배코 를 치,머리 를 면도 하 듯이 빡빡 밀 어 깎
배틀 걸음 치,몹시 배틀 거리 며 걷
배틀 걸음 을 치,몹시 배틀 거리 며 걷
배포 유하,서두르 거나 조급 하 게 굴 지 않
배포 가 유 柔 하,서두르 거나 조급 하 게 굴 지 않
백 결 치,수없이 많 은 군중 이 모여들 어 웅성거리
백결 이 치,수없이 많 은 군중 이 모여들 어 웅성거리
백기 들,굴복 하 거나 항복 하
백기 를 들,굴복 하 거나 항복 하
백납 먹,살 가죽 에 허옇 게 어루러기 가 생기
백납 이 먹,살 가죽 에 허옇 게 어루러기 가 생기
백의 의 천사,간호 사
백지 한 장 의 차이,아주 근소 하 ᆫ 차이
백 차일 치,사람 들 이 매우 많이 모이 ᆫ 모양
밴댕이 소갈 머리,아주 좁 고 얕 은 심지
밸 뽑,마음 속 의 생각 을 다 털어놓
밸 을 뽑,마음 속 의 생각 을 다 털어놓
밸 을 삭이,화 가 나 ᆫ 것 을 가라앉히 거나 풀 어 없애
밸 을 쓰,배짱 을 부리
밸 이 꼴리,비위 에 거슬리 어 아니꼽
밸 이 뒤틀리,비위 에 거슬리 어 아니꼽
뱀 을 보,잘못 대하 다가 크 게 봉변 을 당하
뱀 을 잡,잘못 대하 다가 크 게 봉변 을 당하
뱃 가죽 이 두껍,뻔뻔 하
뱃 가죽 이 등 에 붙,굶 어서 배 가 고프
뱃 놈 배 둘러대,상황 에 따르 아 이리저리 말 을 잘 둘러대 는 모양
뱃 속 을 들여다보,속 마음 을 환히 꿰뚫 어 보
뱃 속 을 채우,염치없이 자기 욕심 만 차리
뱃 속 이 검,마음 보 가 더럽 고 음흉 하
뱃 심 좋,염치 나 두려움 이 없이 저 의 고집 대로 하 는 비위 가 좋
뱃 심 이 좋,염치 나 두려움 이 없이 저 의 고집 대로 하 는 비위 가 좋
버릇 떼 어 놓,나쁘 ᆫ 버릇 을 비판 하 거나 혼내 어 고치 게 하
버릇 떼 어 주,나쁘 ᆫ 버릇 을 비판 하 거나 혼내 어 고치 게 하
버릇 을 떼 어 놓,나쁘 ᆫ 버릇 을 비판 하 거나 혼내 어 고치 게 하
버릇 을 떼 어 주,나쁘 ᆫ 버릇 을 비판 하 거나 혼내 어 고치 게 하
번 을 나,순서 가 끝나
번 을 나들,차례 를 바꾸 어 들 고 나 고 하
번 을 들,순서 가 되
번지 수 가 틀리,어떤 일 에 들어맞 지 않 거나 엉뚱 하 ᆫ 데 를 잘못 짚
번지 수 가 다르,어떤 일 에 들어맞 지 않 거나 엉뚱 하 ᆫ 데 를 잘못 짚
번지 수 를 잘못 찾,생각 을 잘못 짚 어 엉뚱 하 ᆫ 방향 으로 나가
번지 수 를 잘못 짚,생각 을 잘못 짚 어 엉뚱 하 ᆫ 방향 으로 나가
벌겋 ᆫ 거짓 말,뻔히 드러나 ᆯ 만큼 터무니없 는 거짓 말
벌겋 ᆫ 상 놈,더 말 하 ᆯ 나위 없 는 상 놈
벌리 나 오므리,이렇게 하나 저렇게 하나
벌리 ᆫ 입 을 다물 지 못하,몹시 감탄 하 거나 어이없 어 하
벌이 어 놓 은 굿 판,이미 시작 하 ᆫ 일 이 라 중간 에 그만두 ᆯ 수 없 는 처지 의 일
벌 을 씌우,벌 을 받 게 하
벌이 줄 잡,연 에 벌이 줄 을 매
벌이 줄 을 잡,연 에 벌이 줄 을 매
벌 집 쑤시 어 놓 은 것 같,매우 어수선 하
벌 집 을 건드리,건드리 어서 는 안 되 ᆯ 것 을 공연히 건드리 ㅓ 크 ᆫ 화근 을 만들
벌 집 을 쑤시,건드리 어서 는 안 되 ᆯ 것 을 공연히 건드리 ㅓ 크 ᆫ 화근 을 만들
벌 통 쑤시 ᆫ 것 같,매우 어수선 하
범 의 아가리,매우 위태 하 ᆫ 지경
범 의 아가리 를 벗어나,매우 위급 하 ᆫ 경우 를 벗어나
범 의 입 을 벗어나,매우 위급 하 ᆫ 경우 를 벗어나
범 의 어금 니,없 어서 는 안 되 ᆯ 매우 요긴 하 ᆫ 것
범 의 차반,무엇 이 생기 면 아끼 어 쓰 며 모으 아 두 ᆯ 생각 은 없이 생기 는 대로 다 쓰 어 버리 ᆫ다
범 한테 쫓기 ᆫ 사람,무엇 이 ᆫ 가 에 혼쭐 이 나 서 겁 을 먹 고 조급 하 게 서두르 거나 안절부절 못 하 는 사람
법석 이 일 이 다,소란 스럽 게 떠드 는 현상 이 생기
법 없이 살,마음 이 곧 고 착하 여 법 의 규제 가 없 어도 나쁘 ᆫ 짓 을 하 지 아니하
벗 바리 좋,뒷 배 를 보 아 주 는 사람 이 많
벗 바리 가 좋,뒷 배 를 보 아 주 는 사람 이 많
베 개 를 높이 베,안심 하 고 편안 하 게 푹 자 거나 태평 스럽 게 지내
베 개 를 높이 하,안심 하 고 편안 하 게 푹 자 거나 태평 스럽 게 지내
베이스 넣,옆 에서 남 의 말 을 거들 어 주
베이스 를 넣,옆 에서 남 의 말 을 거들 어 주
베 틀 에 북 나들 ᆯ 듯,부리나케 자주 드나드 는 모양 이
벼락 내리,크 ᆫ 벌 을 받
벼락 떨어지,크 ᆫ 벌 을 받
벼락 이 내리,크 ᆫ 벌 을 받
벼락 이 떨어지,크 ᆫ 벌 을 받
벼락 맞 을 소리,천 벌 을 받 아 마땅 하 ᆯ 만큼 당찮 은 말
벼락 불 치,매우 빠르 거나 세 게 치 는 모양
벼락 치,아주 빠르 게
벼랑 에 몰리,위험 하 ᆫ 상황 에 직면 하 게 되
벼룩 의 불 알 만 하,매우 작
벼슬 길 에 오르,벼슬 살이 를 시작 하
벽 쌓,서로 사귀 던 관계 를 끊
벽 을 쌓,서로 사귀 던 관계 를 끊
벽 에 부딪치,어떤 장애 물 에 가로막히
벽 을 알 ㄴ다,벽 을 향하 여 가까이 하
변덕 이 죽 끓 듯 하,말 이나 행동 을 몹시 이러 었 다가 저러 었 다가 하
변두 놓,편두 통 을 고치 기 위하 여 침 을 놓
변두 를 놓,편두 통 을 고치 기 위하 여 침 을 놓
변두 맞,편두 통 을 고치 기 위하 여 침 을 맞
변두 를 맞,편두 통 을 고치 기 위하 여 침 을 맞
변죽 울리,바로 집 어 말 을 하 지 않 고 둘러서 어 말 을 하
변죽 을 울리,바로 집 어 말 을 하 지 않 고 둘러서 어 말 을 하
변죽 을 치,바로 집 어 말 을 하 지 않 고 둘러서 어 말 을 하
변죽 치 고 넘,화살 이 과녁 의 변죽 을 맞 고 밖 으로 튕기 어 나가
별 겯,별 이 총총 박히
별 보 ᆯ 일 없,대단 하 지 않 고 하찮
별 보 ᆯ 일 있,보통 과 구별 되게 다르
별 이 보이,충격 을 받 아서 갑자기 정신 이 아득 하 고 어지럽
병 나발 불,나발 을 불 듯이 병 을 거꾸로 입 에 대 고 병 속 에 들 ᆫ 액체 를 들이켜
병 나발 을 불,나발 을 불 듯이 병 을 거꾸로 입 에 대 고 병 속 에 들 ᆫ 액체 를 들이켜
병신 육갑 하,되 지 못하 ᆫ 자 가 엉뚱 하 ᆫ 짓 을 하
병신 이 육갑 六甲 하,되 지 못하 ᆫ 자 가 엉뚱 하 ᆫ 짓 을 하
병아리 보 ᆫ 솔개,기다리 던 때 나 사물 을 차지 하 려고 기회 를 노리 는 사람
병아리 를 보 ᆫ 솔개,기다리 던 때 나 사물 을 차지 하 려고 기회 를 노리 는 사람
병아리 눈 물 만큼,매우 적 은 수량
병아리 오줌,정신 이 희미 하 고 고리타분 하 ᆫ 사람
병 자년 방죽 이,건방지
보금 자리 치,보금 자리 를 만들
보금 자리 를 치,보금 자리 를 만들
보 기 좋 게,남 이 낭패 보 ᆫ 것 을 고소 해하 하
보 는 눈 이 있,사람 이나 일 따위 를 평가 하 는 능력 이 있
보 따리 싸,관계 하 던 일 이나 다니 던 직장 을 완전히 그만두
보 따리 를 싸,관계 하 던 일 이나 다니 던 직장 을 완전히 그만두
보 따리 풀,숨 은 사실 을 폭로 하
보 따리 를 풀,숨 은 사실 을 폭로 하
보 란 듯이,남 이 보 고 부럽 어 하 도록 자랑 스럽 거나 떳떳 하 게
보리 타,매 를 맞
보리 를 타,매 를 맞
보 쌈 에 들,남 의 꾀 에 걸려들
보 자 보 자 하,마음 에 들 지 않 지만 참 고 또 참
보통 아니,평범 하 지 아니하 고 솜씨 가 특별 하 거나 뛰어나
보통 이 아니,평범 하 지 아니하 고 솜씨 가 특별 하 거나 뛰어나
복 벗,복제 에 따르 아 첫 1 년 동안 상복 을 입 도록 되 어 있 는 기간 이 지나가
복 을 벗,복제 에 따르 아 첫 1 년 동안 상복 을 입 도록 되 어 있 는 기간 이 지나가
복 입,복제 에 따르 아 첫 1 년 동안 입 도록 되 어 있 는 상복 을 입
복 을 입,복제 에 따르 아 첫 1 년 동안 입 도록 되 어 있 는 상복 을 입
복 가마 타,뜻 하 지 않 은 행복 을 얻
복 가마 를 타,뜻 하 지 않 은 행복 을 얻
복 의 배,배 가 나오 ᆫ 사람
복장 긁,성 이 나 게 하
복장 을 긁,성 이 나 게 하
복장 뒤집,성 이 나 게 하
복장 을 뒤집,성 이 나 게 하
복장 뒤집히,성 이 나
복장 이 뒤집히,성 이 나
복장 타,걱정 이 되 거나 안타깝 어 마음 이 몹시 달
복장 이 타,걱정 이 되 거나 안타깝 어 마음 이 몹시 달
복장 터지,몹시 마음 에 답답 하 ᄆ 을 느끼
복장 이 터지,몹시 마음 에 답답 하 ᄆ 을 느끼
복장 을 짓찧,마음 에 몹시 심하 ᆫ 고통 을 주
복정 씌우,남 에게 억지로 부담 을 지우
복정 을 씌우,남 에게 억지로 부담 을 지우
복정 안기,남 에게 억지로 부담 을 지우
복정 을 안기,남 에게 억지로 부담 을 지우
복정 알 ㄴ다,억지로 맡 아 부담 하
복정 을 알 ㄴ다,억지로 맡 아 부담 하
복학 잡,복학 을 완전히 낫 게 하
복학 을 잡,복학 을 완전히 낫 게 하
본때 를 보이,잘못 을 다시 는 저지르 지 아니하 거나 교훈 이 되 도록 따끔 하 ᆫ 맛 을 보이
본말 이 전도 되,중요 하 ᆫ 것 과 중요 하 지 않 은 것 이 구별 되 지 않 거나 일 의 순서 가 잘못 바뀌 ᆫ 상태 가 되
본말 이 전도 顚倒 되,중요 하 ᆫ 것 과 중요 하 지 않 은 것 이 구별 되 지 않 거나 일 의 순서 가 잘못 바뀌 ᆫ 상태 가 되
본보 기 를 내,여러 사람 을 경계 하 기 위하 여 잘못 하 ᆫ 사람 을 징계 하 여 본보 기 가 되게 하
본전 도 못 찾,일 한 결과 가 좋 기 는커녕 오히려 하 지 아니하 ᆫ 것 만 도 못하
볼 붓,못 마땅 하 여 뾰로통 하 게 성 이 나
볼 이 붓,못 마땅 하 여 뾰로통 하 게 성 이 나
볼 꼴 좋,꼴 이 보 기 에 흉하
볼 에 밤 을 물,못 마땅 하 여 뾰로통 하 게 성 이 나
볼 을 적시,눈 물 을 흘리
보 ᆯ 장 다 보,일 이 더 손 대 ㄹ 것 도 없이 틀어지
보 ᆯ 장 을 다 보,일 이 더 손 대 ㄹ 것 도 없이 틀어지
보 ᆯ 장 보다,하 고자 하 는 바 를 이루
봄 타,봄 기운 때문 에 마음 을 안정 하 지 못하 여 기분 이 들뜨
봄 을 타,봄 기운 때문 에 마음 을 안정 하 지 못하 여 기분 이 들뜨
봄 눈 스 ㄹ 듯,무엇 이 빨리 슬 어 없 어 지
봄 눈 녹,무엇 이 빨리 슬 어 없 어 지
봄 풀 자라,"걱정 , 공상 따위 가 꼬리 를 물 고 자꾸 일어나"
봇 짐 싸 아 가지 고 말리,일부러 멀리 찾아가 서 까지 못 하 게 말리
봇 짐 을 싸,살 던 곳 이나 일 하 던 곳 을 옮기 기 위하 여 짐 을 꾸리
봇 짐 을 지,필요 하 ᆫ 물건 이나 살림 살이 를 꾸리 어서 이사 를 가 거나 길 을 떠나
봇 짐 을 풀,거처 하 여 살 기 시작 하
봉 잡,매우 귀하 고 훌륭 하 ᆫ 사람 이나 일 을 얻
봉 을 잡,매우 귀하 고 훌륭 하 ᆫ 사람 이나 일 을 얻
봉화 들,어떤 일 이나 운동 을 맨 앞 에서 선구 적 으로 시작 하
봉화 올리,어떤 일 이나 운동 을 맨 앞 에서 선구 적 으로 시작 하
봉화 를 들,어떤 일 이나 운동 을 맨 앞 에서 선구 적 으로 시작 하
봉화 를 올리,어떤 일 이나 운동 을 맨 앞 에서 선구 적 으로 시작 하
봉화 를 일으키,어떤 일 이나 운동 을 맨 앞 에서 선구 적 으로 시작 하
부들이 를 뽑,처마 쪽 서까래 를 위 로 휘 어 오르 ᆫ 듯 하 게 깎
부레 가 끓,몹시 성나
부룩 박,곡식 이나 채소 따위 를 심 은 밭 의 사이 사이 에 다른 농작 물 을 심
부룩 치,곡식 이나 채소 따위 를 심 은 밭 의 사이 사이 에 다른 농작 물 을 심
부룩 을 박,곡식 이나 채소 따위 를 심 은 밭 의 사이 사이 에 다른 농작 물 을 심
부룩 을 치,곡식 이나 채소 따위 를 심 은 밭 의 사이 사이 에 다른 농작 물 을 심
부르 느니 말 하,가깝 ᆫ 거리 에 있 으면서 불러오 라고 시키 는 것 보다 는 마주 대 고 말 을 하 는 것 이 더 빠르
부르 는 것 이 값,값 이 일정 하 지 아니하 고 그 때 그 때 달라지
부르 는 것 이 값,값 이 일정 하 지 아니하 고 그 때 그 때 달라지
부르 는 것 이 값 이,값 이 일정 하 지 아니하 고 그 때 그 때 달라지
부르 는 것 이 값 이,값 이 일정 하 지 아니하 고 그 때 그 때 달라지
부리 가 잡히,종기 가 곪 느라고 한 가운데 가 뾰족 하 아 지
부리 를 까,말 로 만 잘 지껄이 거나 말 대꾸 를 잘 하
부리 를 따,이야기 나 일 을 시작 하 거나 손 을 대
부리 를 떼,이야기 나 일 을 시작 하 거나 손 을 대
부리 를 헐,이야기 나 일 을 시작 하 거나 손 을 대
부시 치,부싯 돌 에 부싯 깃 을 놓 고 부시 로 치 어서 불 을 일으키
부시 를 치,부싯 돌 에 부싯 깃 을 놓 고 부시 로 치 어서 불 을 일으키
부아 가 상투 끝 까지 치밀 어 오르,부아 가 몹시 치밀
부엉이 방귀 같,사소 하 ᆫ 일 에 도 잘 놀라 ᆫ다
부접 못 하,한 곳 에 붙 어 배기 거나 견디 어 내 지 못하
부접 을 못 하,한 곳 에 붙 어 배기 거나 견디 어 내 지 못하
부정 보다,꺼리 거나 피하 는 몸 으로 부정 하 ᆫ 일 을 하
부정 을 보,꺼리 거나 피하 는 몸 으로 부정 하 ᆫ 일 을 하
부정 치,"부정 풀이 를 하 ᆯ 때 , 무당 이 부정 하 ᆫ 일 을 물리치 어 버리"
부정 을 치,"부정 풀이 를 하 ᆯ 때 , 무당 이 부정 하 ᆫ 일 을 물리치 어 버리"
부정 타,부정 하 ᆫ 일 로 해 를 입
부정 을 타,부정 하 ᆫ 일 로 해 를 입
북 주,흙 으로 식물 의 뿌리 를 덮 어 주
북 을 주,흙 으로 식물 의 뿌리 를 덮 어 주
북 나 들 듯,부리나케 자주 드나들
북 이 나들 ᆯ 듯,부리나케 자주 드나들
북새 놀,여러 사람 이 부산 하 게 법석이
북새 놓,여러 사람 이 부산 하 게 법석이
북새 를 놀,여러 사람 이 부산 하 게 법석이
북새 를 놓,여러 사람 이 부산 하 게 법석이
북 장단 을 치,정황 에 따르 아 일 을 줏 대 있 게 잘 처리 하
북 장단 을 추,정황 에 따르 아 일 을 줏 대 있 게 잘 처리 하
북 장단 을 맞추,정황 에 따르 아 일 을 줏 대 있 게 잘 처리 하
북 치,무엇 을 함부로 때리 거나 두드리
북 통 지,"경 을 읽 는 동안 에 병자 가 죽 었 을 때 , 경 쟁이 가 북 을 지 고 쫓겨나"
북 통 을 지,"경 을 읽 는 동안 에 병자 가 죽 었 을 때 , 경 쟁이 가 북 을 지 고 쫓겨나"
북 통 지우,"경 을 읽 는 동안 에 병자 가 죽 었 을 때 , 경 쟁이 에게 북 을 짓 어 쫓아내"
북 통 을 지우,"경 을 읽 는 동안 에 병자 가 죽 었 을 때 , 경 쟁이 에게 북 을 짓 어 쫓아내"
분위기 있,그윽 하 거나 멋있 는 기운 이 감돌
분의 를 따,자신 의 분수 에 알맞 은 정당 하 ᆫ 도리 를 저버리
분이 꼭두 까지 나,분하 ᆫ 마음 이 몹시 일어나
분이 꼭두 까지 올라오,분하 ᆫ 마음 이 몹시 일어나
분초 를 다투,아주 짧 은 시간 이 라도 아끼 어 급하 게 서두르
분초 를 아끼,시간 을 헛되 ᄆ 이 없이 효과 적 으로 쓰
분필 가루 를 먹,가르치 는 일 을 직업 으로 하
분하 ᆫ 있,많 은 것 같 아도 실상 은 그리 많 지 않
분한 이 있,많 은 것 같 아도 실상 은 그리 많 지 않
불 놓,광산 에서 폭약 을 터뜨리 려고 도화 선 에 불 을 붙이
불 을 놓,광산 에서 폭약 을 터뜨리 려고 도화 선 에 불 을 붙이
불 맞,탄 알 에 맞
